cohort,epoch,patient_id,nfe,psnr_db,ssim,psnr_db_wt,ssim_wt,psnr_db_bg,ssim_bg,latent_mse,latent_l1,latent_cosine,gen_sec,decode_sec
UCSF-PDGM,3,UCSF-PDGM-0147,1,24.29935073852539,0.19473594427108765,14.608501434326172,0.9133376479148865,25.132633209228516,0.21241647005081177,0.893576979637146,0.7478830218315125,0.3155083656311035,0.5264940708875656,1.2070769583806396
UCSF-PDGM,3,UCSF-PDGM-0147,2,25.265727996826172,0.5366790890693665,14.937810897827148,0.9252656698226929,26.26472282409668,0.5556613802909851,1.0905909538269043,0.8266220092773438,0.20485493540763855,0.09198689460754395,1.1130793429911137
UCSF-PDGM,3,UCSF-PDGM-0147,5,25.417236328125,0.8677964210510254,15.511070251464844,0.9393855333328247,26.303146362304688,0.8868395090103149,1.3453493118286133,0.9189326167106628,0.15237697958946228,0.22348108049482107,1.165864479728043
UCSF-PDGM,3,UCSF-PDGM-0147,10,25.34837532043457,0.8646748661994934,16.039493560791016,0.9504058361053467,26.095867156982422,0.8834152221679688,1.508348822593689,0.9735399484634399,0.13522417843341827,0.434822048060596,1.0894642574712634
UCSF-PDGM,3,UCSF-PDGM-0147,20,25.16291618347168,0.8623764514923096,15.988824844360352,0.9519639015197754,25.882261276245117,0.8812904357910156,1.5935407876968384,1.0010994672775269,0.1261148303747177,0.8642097255215049,1.0545491427183151
UCSF-PDGM,3,UCSF-PDGM-0339,1,24.32705307006836,0.19580242037773132,15.067072868347168,0.978319525718689,24.52214813232422,0.20117385685443878,0.8836593627929688,0.7436678409576416,0.34269750118255615,0.04760755505412817,1.165619526989758
UCSF-PDGM,3,UCSF-PDGM-0339,2,25.312702178955078,0.4775567650794983,15.394953727722168,0.9861844182014465,25.54497528076172,0.48331376910209656,1.0744318962097168,0.8198891282081604,0.22400115430355072,0.09491384401917458,1.197591601870954
UCSF-PDGM,3,UCSF-PDGM-0339,5,25.687253952026367,0.8728558421134949,15.6526517868042,0.9900699257850647,25.92677879333496,0.8787797093391418,1.353548288345337,0.9206788539886475,0.1667204648256302,0.22284068446606398,1.0885454649105668
UCSF-PDGM,3,UCSF-PDGM-0339,10,25.725481033325195,0.8696449995040894,15.406087875366211,0.9936679601669312,25.983572006225586,0.8757568597793579,1.5066293478012085,0.9721921682357788,0.14709897339344025,0.43980356864631176,1.0933087784796953
UCSF-PDGM,3,UCSF-PDGM-0339,20,25.531455993652344,0.865368664264679,15.241585731506348,0.9930247664451599,25.787561416625977,0.8713790774345398,1.6085280179977417,1.0047039985656738,0.13709114491939545,0.8727153083309531,1.054135768674314
